State,Population,ViolentCrime1,MurderAndNonnegligentManslaughter,Rape(revisedDefinition)2 ,Rape(legacyDefinition)3,Robbery,AggravatedAssault,PropertyCrime,Burglary,Larceny-theft,MotorVehicleTheft,ViolentCrimeRate
ALABAMA,4858979,22952,348,2039,1456,4611,15954,144746,35255,99156,10335,0.004723626
ALASKA,738432,5392,59,901,650,761,3671,20806,3511,15249,2046,0.007301959
ARIZONA,6828065,28012,309,3108,2294,6360,18235,207107,37957,152365,16785,0.004102480
ARKANSAS,2978204,15526,181,1931,1300,2098,11316,96836,22640,68424,5772,0.005213209
CALIFORNIA,39144818,166883,1861,12811,9387,52862,99349,1024914,197404,656517,170993,0.004263221
COLORADO,5456574,17515,176,3257,2377,3323,10759,144136,23454,104682,16000,0.003209890
CONNECTICUT,3590886,7845,117,773,582,2892,4063,65066,10053,48675,6338,0.002184698
DELAWARE,945934,4720,63,341,243,1235,3081,25455,4773,19501,1181,0.004989777
DISTRICT OF COLUMBIA4,672228,8531,162,494,366,3742,4133,31435,2971,25200,3264,0.012690635
FLORIDA,20271272,93626,1041,7553,5430,21137,63895,570270,109268,420341,40661,0.004618654
GEORGIA5,10214860,38643,615,3224,2296,12247,22557,308723,66374,215867,26482,0.003783018
HAWAII,1431603,4201,19,561,400,1203,2418,54346,6557,42010,5779,0.002934473
IDAHO,1654930,3568,32,694,533,192,2650,28858,6124,20863,1871,0.002155982
ILLINOIS,12859995,49354,744,4821,3549,14910,28879,255729,46443,191634,17652,0.003837793
INDIANA6,6619680,25653,373,2404,1789,7111,15765,171847,34410,123918,13519,0.003875263
IOWA,3123899,8936,72,1156,851,1047,6661,63957,14892,44723,4342,0.002860528
KANSAS,2911641,11353,128,1615,1251,1818,7792,79199,15362,56880,6957,0.003899176
KENTUCKY,4425092,9676,209,1492,997,3307,4668,96362,22260,66320,7782,0.002186621
LOUISIANA,4670724,25208,481,1723,1260,5550,17454,156629,35453,111435,9741,0.005397022
MAINE6,1329328,1729,23,474,354,311,921,24327,4684,18829,814,0.001300657
MARYLAND,6006401,27462,516,1666,1184,9863,15417,139048,25678,100219,13151,0.004572122
MASSACHUSETTS,6794422,26562,128,2075,1608,5288,19071,114871,21890,84912,8069,0.003909383
MICHIGAN,9922576,41231,571,6450,4163,7796,26414,187101,40041,131296,15764,0.004155272
MINNESOTA,5489594,13319,133,2321,1686,3771,7094,121984,19299,94704,7981,0.002426227
MISSISSIPPI6,2992333,8254,259,1203,862,2294,4498,84790,24799,55748,4243,0.002758383
MISSOURI,6083672,30261,502,2553,1854,6376,20830,173642,34006,122637,16999,0.004974134
MONTANA,1032949,3611,36,547,431,210,2818,27100,3838,20844,2418,0.003495816
NEBRASKA6,1896190,5212,62,873,652,994,3283,42495,6422,32072,4001,0.002748670
NEVADA,2890845,20118,178,1688,1238,6287,11965,77137,22360,43426,11351,0.006959211
NEW HAMPSHIRE,1330608,2652,14,627,461,468,1543,23229,3467,18871,891,0.001993074
NEW JERSEY,8958013,22879,363,1373,1019,9729,11414,145701,27960,105963,11778,0.002554026
NEW MEXICO5,2085109,13681,117,1672,1215,2485,9407,77094,17085,51483,8526,0.006561288
NEW YORK6,19795791,75165,609,6074,4389,23936,44546,317529,44276,257940,15313,0.003797019
NORTH CAROLINA5,10042802,34852,517,2684,1939,8825,22826,276183,74841,187907,13435,0.003470346
NORTH DAKOTA,756927,1812,21,345,276,148,1298,16020,2997,11440,1583,0.002393890
OHIO6,11613423,33898,500,5149,4154,12554,15695,300525,69303,213993,17229,0.002918864
OKLAHOMA,3911338,16506,234,1849,1352,3005,11418,112878,28406,74022,10450,0.004220039
OREGON6,4028977,10468,99,1593,1164,2146,6630,118719,18336,89836,10547,0.002598178
PENNSYLVANIA,12802503,40339,658,4305,3122,13003,22373,232085,39664,180287,12134,0.003150868
PUERTO RICO7,3474182,7629,584,165,123,4070,2810,37717,9150,24493,4074,0.002195913
RHODE ISLAND6,1056298,2562,29,459,338,556,1518,20043,3947,14707,1389,0.002425452
SOUTH CAROLINA,4896146,24700,399,2297,1707,3931,18073,161245,34551,113724,12970,0.005044784
SOUTH DAKOTA,858469,3289,32,495,441,216,2546,16680,2960,12532,1188,0.003831239
TENNESSEE,6600299,40400,406,2676,1966,7474,29844,193796,43247,137679,12870,0.006120935
TEXAS,27469114,113227,1316,12250,8925,31934,67727,777739,153054,557200,67485,0.004121975
UTAH6,2995919,7071,54,1645,1098,1326,4046,89278,12468,68103,8707,0.002360211
VERMONT,626042,739,10,136,121,101,492,8806,1968,6660,178,0.001180432
VIRGINIA,8382993,16399,383,2340,1493,4441,9235,156470,21340,127019,8111,0.001956223
WASHINGTON6,7170351,20394,211,2705,2193,5449,12029,248369,50993,170509,26867,0.002844212
WEST VIRGINIA,1844128,6231,70,672,420,760,4729,37251,9170,25842,2239,0.003378833
WISCONSIN6,5771337,17647,240,1780,1224,5232,10395,113924,19554,83385,10985,0.003057697
WYOMING,586107,1302,16,173,125,59,1054,11151,1762,8797,592,0.002221437
